"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
0.2,-0.15,0,-0.12,0.1,0,0.12,-1.81,0,-0.04,0,-0.43,0.09,-0.3,0.07,-0.3,FALSE
0.15,0.22,1.96,0,0,0,0,-3.14,0.18,0,0.24,0.2,-0.01,0,-0.01,0,FALSE
0.34,-0.19,3.14,0,0,0,0,0,0,0,0,-0.19,0.14,0,0.14,0,FALSE
1.78,0,1.9,0,0.19,0,-0.01,0,0,0,0,0,0.27,0,0.27,0,FALSE
0.29,0.08,0.32,0,0,0,0,-1.93,0,0,0.08,-0.28,0.22,-0.13,0.22,0,FALSE
1.78,-0.13,2.65,0,0.12,0,0.09,-1.61,0,0,0,-0.13,0.07,0,0.02,0,FALSE
0,0,0,0,0.3,0,0.02,-0.34,0,0,0,-0.19,0.22,0,0.22,0,FALSE
1.9,0,2.02,0,0,0,0,-1.35,0,0,0,0.08,0,0,0,0,TRUE
1.72,-0.1,3.43,0,-0.6,-0.05,-0.62,-0.23,0,0,0,0,-0.52,-0.06,-0.49,-0.06,FALSE
0,-0.07,1.44,0,0.3,0,0.21,0,0,0,0,0,0.2,0,0.2,0,FALSE
0.28,0.01,0.18,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0,FALSE
0.15,0,0.15,0,0,-0.2,0,-0.3,0,-0.05,0.13,-0.15,0,0,0,0,FALSE
0.2,0.02,1.29,0,0,0,0,-1.59,0,0,0,0.17,0.02,0,0,0,FALSE
0.44,0,0.54,0,0,0,0,-3.15,0,0,0,-0.18,0.04,0,0.04,0,FALSE
0.95,0.27,2.27,0,0.11,0,0.02,0,0,0,0,0,0.34,0,0.34,0,FALSE
0,0.29,1.48,-0.13,-0.08,0,0,-0.64,0,-0.01,0.07,-0.13,0.22,0,0,0.22,FALSE
1.61,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0.48,0,0.45,0,0,0,0,0,0,0,0.17,0,0.16,0,0.05,0,FALSE
0,-0.25,1.41,0,-0.07,0,0,-2.81,0.09,0,0,0.31,-0.02,0,-0.02,0,FALSE
0.2,0,0.2,0,-0.05,0,0,-1.89,0,0,0,-0.06,-0.06,0,0,0,FALSE
0.33,0,0.41,0,-0.07,0,0,0,0.09,0,0,0,-0.01,0,-0.01,0,FALSE
1.78,0,2.13,0,0.15,0,0.02,0,0,0,0,0,0.11,0,0.11,0,FALSE
0,0,0,0,0.28,0,0.12,0,0,0,0,0,0.26,0,0.26,0,FALSE
0.51,-0.34,1.96,0,0,0,0,-1.26,0,-0.1,0,0.07,0.14,0,0.09,0,FALSE
0.42,0,0.39,0,0,0,0,-3.18,0.13,0,0.11,0.23,0.08,0,0.08,-0.73,FALSE
0.67,-0.02,0.87,0,0,0,0,0,0.23,0.03,0.45,0,0.15,0,0.15,0,FALSE
1.78,0,2.11,0,0.12,0,0.2,-1.45,0.09,0,0,0.36,0.19,0,0.14,0,TRUE
1.48,0,1.73,0,0,0,0,0,0.18,0,0.23,0,0.2,0,0.2,0,FALSE
2.59,-0.01,2.36,0,0,0,0,0,0,0,0,0,0.23,0,0.23,0,FALSE
0.18,0.29,1.52,0,0,0,0,0,0,0,0,0,0.04,0,0.04,-0.75,FALSE
0.2,0,0.19,0,0,-0.18,0,-0.15,0,-0.06,0,-0.09,0.07,0,0.07,0,FALSE
0,0,0,0,0,0,0,-1.68,0,0,0,0,0,0,0,0,FALSE
0.21,0.05,1.63,0,0,0,0,-1.68,0,0,0,-0.13,0.12,0,0.12,0,FALSE
0.46,-0.09,5.38,0,-0.07,-0.12,0,0,0.09,0.01,0,0,0.19,0,0.19,0,FALSE
0.38,0,0.5,0,0,0,0,0,0,0,0,-0.06,-0.09,0,-0.09,0,FALSE
1.78,-0.13,1.9,0,0,-0.13,0,-0.34,0,0,0,0,0,-0.09,0,-0.09,FALSE
0,0,1.61,0,0,0,0,-1.89,0,0,0,-0.06,0.2,0,0.2,0,FALSE
