"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","desgosto"
0,0,5.92139,0,0,0,0,0,5.92139,0,0,0,0,0,0,5.92139,0,0,0,0,5.92139,0,0,0,FALSE
0,0,0,35.930986,0,9.380822,0,0,20.005569,25.306238,0,0,0,7.643856,0,28.287129,0,9.380822,0,0,18.906308,9.380822,7.643856,9.380822,FALSE
8.965784,0,18.343184,4.795859,0,0,8.965784,0,23.139043,0,0,0,0,0,0,32.104827,0,0,8.965784,0,18.343184,4.795859,0,0,FALSE
0,0,0,18.931569,8.965784,0,0,0,9.965784,17.931569,0,0,0,8.965784,0,18.931569,0,0,0,0,0,18.931569,0,8.965784,TRUE
11.989054,0,0,21.931569,0,8.643856,3.02327,0,0,41.863137,0,8.643856,10.965784,0,21.931569,11.989054,0,8.643856,11.989054,0,0,21.931569,0,19.60964,TRUE
9.380822,0,6.058894,29.196913,0,0,0,0,35.255807,0,0,9.380822,0,0,0,44.636629,0,0,0,9.380822,35.255807,0,0,0,FALSE
4.816037,0,14.423774,25.389558,16.316859,0,0,0,7.265345,48.864846,4.816037,0,24.475288,0,0,36.47094,0,0,0,4.816037,21.689118,9.965784,0,24.475288,FALSE
6.795859,0,7.643856,15.539251,0,0,0,0,8.965784,21.013182,0,0,0,0,0,29.978967,0,0,6.573467,0,8.965784,14.439715,0,0,FALSE
0,0,0,0,0,10.463963,0,0,0,10.463963,0,0,5.083141,5.380822,0,0,0,0,0,0,0,0,0,5.380822,TRUE
11.389504,0,0,13.146934,14.400187,0,6.573467,0,13.146934,14.400187,4.816037,0,14.400187,0,0,24.536438,0,0,6.573467,4.816037,13.146934,0,8.643856,5.756331,FALSE
0,0,10.965784,6.380822,0,6.506353,0,0,0,23.852959,0,0,0,0,0,17.346606,0,6.506353,0,0,10.965784,6.380822,0,6.506353,TRUE
7.965784,0,18.60964,0,0,8.380822,7.965784,0,10.965784,16.024678,0,0,8.380822,0,7.643856,18.931569,0,0,7.965784,0,18.60964,0,8.380822,0,TRUE
3.02327,0,10.965784,33.693212,0,0,3.02327,0,33.693212,10.965784,0,0,0,0,12.761644,34.920623,0,0,3.02327,0,33.693212,10.965784,0,0,FALSE
0,0,10.965784,9.756643,0,10.965784,0,0,20.722427,10.965784,0,0,0,10.965784,9.756643,10.965784,0,0,0,0,10.965784,9.756643,0,0,FALSE
10.965784,0,0,9.380822,0,0,0,0,0,9.380822,10.965784,0,0,0,0,20.346606,0,0,0,10.965784,9.380822,0,0,0,FALSE
3.02327,0,13.186735,35.453746,0,0,3.02327,0,26.708912,21.931569,0,0,0,0,0,40.697966,0,10.965784,3.02327,0,19.443568,18.231129,0,10.965784,FALSE
0,0,6.158429,25.196913,0,0,0,0,23.389558,7.965784,0,0,0,0,0,31.355342,0,0,0,6.158429,25.196913,0,0,0,FALSE
15.664782,0,0,4.795859,0,10.965784,0,0,4.795859,26.630566,0,0,10.965784,0,0,20.460641,0,0,8.158429,0,0,12.302212,0,10.965784,TRUE
8.643856,0,0,30.31239,0,10.965784,0,0,9.965784,31.31239,8.643856,0,10.965784,0,0,38.956247,0,0,0,8.643856,9.965784,0,0,31.31239,FALSE
12.404092,0,8.380822,4.53952,7.643856,0,3.02327,0,12.920341,7.643856,9.380822,0,0,0,0,32.968289,0,0,12.404092,8.380822,0,4.53952,7.643856,0,TRUE
10.737427,0,14.646166,0,11.512662,0,5.92139,5.680382,8.965784,11.512662,4.816037,0,11.512662,0,0,25.383594,0,0,0,4.816037,14.646166,5.92139,0,11.512662,TRUE
17.895857,0,0,9.965784,0,16.346606,0,0,9.965784,23.505035,10.737427,0,0,16.346606,0,27.861641,0,0,13.07982,4.816037,9.965784,0,0,16.346606,TRUE
0,0,5.92139,28.575425,8.158429,5.083141,0,0,23.531031,24.207355,0,0,13.241571,0,0,34.496815,0,0,0,0,14.565246,19.931569,0,8.158429,FALSE
20.931569,0,7.158429,0,0,0,20.931569,0,7.158429,0,0,0,0,0,0,28.089998,0,0,20.931569,0,7.158429,0,0,0,TRUE
0,0,32.733854,23.861179,0,32.897353,0,0,24.446142,65.046244,0,0,32.897353,0,14.217323,42.37771,0,0,0,0,17.287712,39.307321,0,32.897353,FALSE
12.717249,0,8.965784,12.238082,0,31.31239,0,0,17.931569,41.380547,5.92139,0,31.31239,0,8.965784,24.955331,0,0,5.92139,0,21.203866,6.795859,9.380822,21.931569,FALSE
0,20.346606,10.965784,10.062746,0,0,0,0,15.522178,5.506353,10.965784,9.380822,5.506353,0,0,35.868784,0,0,20.346606,0,15.522178,0,0,5.506353,FALSE
3.02327,0,0,35.156848,0,0,3.02327,0,29.278527,5.878321,0,0,0,0,0,38.180118,0,0,3.02327,0,29.278527,0,0,5.878321,FALSE
0,0,25.183107,0,0,10.965784,0,0,9.380822,26.76807,0,0,10.965784,0,7.158429,18.024678,0,0,0,0,16.539251,8.643856,0,10.965784,FALSE
3.02327,0,16.646166,28.089998,32.897353,0,3.02327,0,28.089998,49.543519,0,0,32.897353,0,0,47.759434,0,0,3.02327,9.380822,35.355342,0,0,32.897353,FALSE
0,0,0,53.649334,0,0,0,0,23.290023,30.359311,0,0,0,0,7.506353,46.142981,0,0,7.506353,0,31.255807,14.887174,0,0,FALSE
3.02327,0,10.965784,0,0,10.965784,3.02327,0,10.965784,10.965784,0,0,10.965784,0,0,13.989054,0,0,3.02327,0,10.965784,0,10.965784,0,TRUE
21.931569,0,0,23.099529,0,19.931569,10.965784,0,24.471088,18.56001,0,10.965784,0,0,0,45.031098,19.931569,0,21.931569,0,23.203866,19.827232,0,0,FALSE
8.158429,0,0,30.575425,0,0,0,10.965784,19.60964,0,0,8.158429,0,0,0,38.733854,0,0,0,8.158429,30.575425,0,0,0,FALSE
0,0,15.844106,0,0,0,0,0,6.878321,8.965784,0,0,0,0,0,15.844106,0,0,0,0,6.878321,8.965784,0,0,FALSE
0,0,19.931569,27.990462,0,0,0,0,9.965784,37.956247,0,0,0,0,17.024678,30.897353,0,0,0,0,17.60964,30.31239,0,0,FALSE
0,8.965784,7.158429,0,0,21.931569,0,0,7.158429,21.931569,8.965784,0,21.931569,0,0,16.124214,0,0,0,8.965784,0,7.158429,0,21.931569,FALSE
0,0,6.158429,14.238082,8.158429,10.965784,10.965784,0,6.158429,22.396511,0,0,19.124214,0,0,20.396511,0,0,0,6.158429,3.272297,10.965784,0,19.124214,FALSE
10.965784,10.965784,0,55.527919,0,0,0,10.965784,55.527919,0,10.965784,0,0,0,0,77.459488,0,0,0,10.965784,66.493703,0,0,0,FALSE
