"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0,0.15,1.76,0,0,0,0,-1.36,0,0,0,-0.04,0,0,0,0,"Tristeza"
0.33,-0.34,1.71,0,0,0,0,0,0.09,0,0.11,0,-0.01,0,-0.01,0,"Neutro"
0.19,0,0.21,0,0.21,0,0.36,0,0,0,0,0,0.15,0,0.15,0,"Alegria"
2,0,1.86,0,0,0,0.16,-1.75,0.11,0,0,-0.12,0.05,0,-0.06,0,"Surpresa"
1.92,-0.01,0,-0.13,0.1,0,0.21,-1.9,0,-0.01,0,-0.99,0,0,0,0,"Neutro"
0,-0.01,0.12,0,0.28,-0.33,0.12,-0.38,0,0,0,0,0.39,-0.24,0.39,-0.24,"Neutro"
0.38,0,0.44,0,0,0,0,-3.1,0,0,0,0.08,0.09,0,0.09,0,"Neutro"
0,0.05,0.13,0,-0.12,0,0,-5.54,0,0.02,0.1,-0.13,0.16,0,0,0.16,"Desgosto"
1.91,0.21,3.54,0,0,0,0,-1.73,0,-0.05,0,-0.29,0.04,0,0.04,0,"Alegria"
0.35,0,0.37,0,0.19,0,-0.01,-1.5,0,0,0,0.23,0.28,0,0.28,0,"Tristeza"
3.42,0.08,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0.46,-0.09,3.49,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0,"Tristeza"
0,0,0,0,-0.28,0,0.07,-2.37,0,0,0,0.04,0.07,0,0.24,-0.17,"Neutro"
0.14,0.15,1.68,0,-0.08,0,0,-4.47,0.14,0,0.17,-0.05,0.22,0,0,-0.51,"Tristeza"
2.26,0,0.4,0,0.16,0,0.13,-2.35,0,0.09,0,-0.2,0.43,0,0.28,0.15,"Tristeza"
0.19,0,0.16,0,0.18,0,0.06,-1.91,0,-0.08,0.12,-0.69,0.07,0,0.07,0,"Neutro"
0.3,0,0.52,0,-0.07,0,0,0,0.09,0,0.17,0,0.16,0,0.16,0,"Neutro"
0.61,0,0.58,0,0,-0.24,0,-0.44,0,0,0,0,0.11,0,0.11,0,"Neutro"
1.67,0,1.67,0,0,0,0,-3.32,0,0,0,-0.36,0.1,0,0.1,0,"Tristeza"
0.42,0,0.43,0,0,-0.23,0,-0.37,0,0,0,0,0.06,-0.14,0.06,-0.14,"Neutro"
0.2,0,0,0,0,0,0,0,0.15,0,0,0.13,0.02,0,0,0,"Alegria"
2.41,0,2.34,0,0,0,0,-1.89,0,0,0,-0.06,0.48,0,0.48,0,"Neutro"
2.06,0.13,5.43,0,0,0,0,-1.3,0,0,0,0.32,0.02,0,0.02,0,"Neutro"
2.34,0,4.1,0,0.01,-0.06,0,0,0,0.11,0,0,0.24,0,0.27,0,"Neutro"
0.59,0,0.75,0,0,0,0,0,0.1,0,0.21,0,0.15,0,0.15,0,"Neutro"
0,0.11,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
