"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
21.931569,7.643856,10.965784,7.643856,7.643856,0,0,18.60964,0,7.643856,0,7.643856,29.575425,0,10.965784,18.60964,"Neutro"
9.965784,7.380822,17.346606,0,7.965784,0,0,0,0,0,0,0,17.931569,0,18.60964,0,"Surpresa"
8.965784,9.965784,18.931569,0,8.643856,0,8.643856,0,0,10.965784,0,10.965784,14.361713,0,14.361713,0,"Medo"
10.965784,0,17.073588,0,0,0,0,10.965784,0,0,6.107803,10.965784,10.965784,0,10.965784,0,"Neutro"
0,6.878321,6.878321,0,0,0,0,9.965784,0,0,0,9.965784,0,0,0,0,"Tristeza"
17.539251,8.380822,25.920073,0,0,0,0,0,8.158429,0,8.158429,0,9.380822,0,9.380822,0,"Neutro"
10.965784,0,10.965784,0,20.931569,0,20.931569,0,0,0,0,0,26.649425,0,26.649425,0,"Alegria"
21.931569,0,10.965784,0,0,0,18.346606,12.316859,10.965784,0,0,12.316859,6.717857,0,15.098679,0,"Surpresa"
26.727428,7.643856,0,7.643856,9.380822,0,9.380822,9.965784,0,7.643856,0,17.60964,9.380822,0,9.380822,0,"Neutro"
0,7.506353,7.506353,0,9.965784,18.761644,9.965784,18.761644,0,0,0,0,20.931569,18.761644,20.931569,18.761644,"Neutro"
17.176681,0,17.176681,0,0,0,0,32.897353,0,0,0,32.897353,9.380822,0,9.380822,0,"Neutro"
0,9.380822,9.380822,0,10.965784,0,0,35.055782,0,9.380822,9.380822,24.089998,10.965784,0,0,10.965784,"Desgosto"
13.989054,8.965784,22.954838,0,0,0,0,10.965784,0,10.965784,0,21.931569,21.931569,0,21.931569,0,"Alegria"
18.024678,0,18.024678,0,5.680382,0,5.680382,8.380822,0,0,0,8.380822,16.646166,0,16.646166,0,"Tristeza"
11.989054,16.316859,28.305913,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
18.60964,19.346606,29.31239,0,0,0,0,0,0,0,0,0,9.965784,0,9.965784,0,"Tristeza"
0,0,0,0,15.802286,0,8.158429,14.802286,0,0,0,7.158429,15.802286,0,8.158429,7.643856,"Neutro"
8.965784,10.965784,19.931569,0,7.158429,0,0,36.055782,8.965784,0,8.965784,10.965784,7.158429,0,0,25.089998,"Tristeza"
26.727428,0,16.761644,0,46.543519,0,16.646166,35.653684,0,9.965784,0,5.756331,63.305163,0,33.40781,29.897353,"Tristeza"
10.965784,0,10.965784,0,7.265345,0,7.265345,9.380822,0,8.643856,8.643856,9.380822,19.931569,0,19.931569,0,"Neutro"
15.931569,0,22.039372,0,4.878321,0,0,0,4.878321,0,6.107803,0,15.931569,0,15.931569,0,"Neutro"
5.680382,0,5.680382,0,0,7.265345,0,7.265345,0,0,0,0,5.680382,0,5.680382,0,"Neutro"
16.346606,0,16.346606,0,0,0,0,15.346606,0,0,0,15.346606,16.346606,0,16.346606,0,"Tristeza"
16.60964,0,16.60964,0,0,9.965784,0,9.965784,0,0,0,0,7.643856,9.965784,7.643856,9.965784,"Neutro"
7.265345,0,0,0,0,0,0,0,10.965784,0,0,10.965784,7.265345,0,0,0,"Alegria"
30.448452,0,30.448452,0,0,0,0,5.083141,0,0,0,5.083141,30.448452,0,30.448452,0,"Neutro"
29.089998,17.60964,46.699638,0,0,0,0,9.965784,0,0,0,9.965784,18.124214,0,18.124214,0,"Neutro"
22.954838,0,33.920623,0,4.53952,9.380822,0,0,0,9.380822,0,0,21.663733,0,17.124214,0,"Neutro"
27.575425,0,34.733854,0,0,0,0,0,8.965784,0,16.124214,0,18.60964,0,18.60964,0,"Neutro"
0,21.931569,21.931569,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
9.965784,0,9.965784,0,30.90531,0,15.061204,19.346606,4.878321,6.573467,0,6.573467,26.026988,0,15.061204,19.346606,"Neutro"
29.575425,8.965784,38.541209,0,0,0,0,7.643856,9.965784,0,9.965784,0,8.643856,0,8.643856,7.643856,"Neutro"
9.965784,9.965784,19.931569,0,4.878321,0,0,0,4.878321,0,0,0,9.965784,0,9.965784,0,"Neutro"
26.437921,0,18.931569,0,18.231129,0,0,39.137669,14.771697,0,0,35.703266,29.897353,0,18.931569,16.722115,"Neutro"
10.819129,0,17.977558,0,0,0,0,0,0,0,0,0,7.795859,0,7.795859,0,"Neutro"
0,16.346606,16.346606,0,4.878321,0,0,0,4.878321,0,0,0,0,0,0,0,"Neutro"
0,0,0,0,0,0,0,8.158429,0,0,0,0,0,0,0,8.158429,"Tristeza"
0,14.196859,14.196859,0,0,9.965784,0,9.965784,0,9.965784,0,9.965784,8.965784,0,8.965784,0,"Neutro"
0,0,7.643856,0,0,0,0,11.137153,0,0,7.643856,16.346606,0,0,0,5.756331,"Tristeza"
14.60964,0,14.60964,0,0,0,0,0,10.965784,0,10.965784,0,14.60964,0,14.60964,0,"Tristeza"
0,0,10.965784,0,0,0,0,0,0,0,0,0,8.965784,0,8.965784,0,"Neutro"
0,10.965784,10.965784,0,9.380822,0,9.380822,0,0,0,0,0,16.098679,0,16.098679,9.380822,"Alegria"
0,0,0,0,9.965784,0,9.965784,5.083141,0,0,0,5.083141,9.965784,0,9.965784,0,"Neutro"
0,0,0,0,8.965784,0,8.965784,9.380822,7.795859,0,7.795859,9.380822,8.965784,0,8.965784,0,"Tristeza"
9.965784,0,0,0,9.965784,0,9.965784,10.965784,19.931569,0,9.965784,10.965784,9.965784,0,9.965784,0,"Neutro"
0,7.380822,7.380822,0,13.505304,0,8.965784,5.756331,0,0,0,0,13.505304,0,8.965784,5.756331,"Neutro"
16.024678,0,16.024678,0,0,0,0,0,9.965784,0,9.965784,0,23.083572,0,23.083572,0,"Neutro"
10.965784,7.643856,18.60964,0,15.844106,0,0,16.048926,4.878321,0,0,5.083141,18.231129,0,7.265345,10.965784,"Neutro"
6.506353,0,6.506353,0,10.965784,0,10.965784,9.380822,0,0,0,0,10.965784,0,10.965784,9.380822,"Neutro"
17.231129,8.965784,26.196913,0,0,0,0,0,0,0,0,0,18.231129,0,24.10945,0,"Medo"
0,9.965784,17.60964,0,15.761644,0,15.761644,0,0,9.965784,17.60964,0,15.761644,0,15.761644,0,"Desgosto"
16.761644,0,16.761644,0,0,0,0,31.31239,7.795859,0,7.795859,0,8.965784,0,8.965784,9.380822,"Surpresa"
16.844106,0,16.844106,0,0,10.965784,0,20.931569,9.965784,0,9.965784,9.965784,6.878321,10.965784,6.878321,10.965784,"Medo"
0,28.253497,28.253497,0,8.380822,0,8.380822,0,0,0,0,0,8.380822,0,8.380822,0,"Alegria"
21.784913,32.897353,54.682266,0,8.380822,0,8.380822,0,0,10.965784,10.965784,0,27.142465,10.965784,38.10825,0,"Neutro"
9.965784,0,9.965784,0,0,0,0,8.965784,0,0,0,8.965784,0,0,0,0,"Neutro"
0,7.380822,7.380822,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desgosto"
17.539251,0,17.539251,0,0,0,0,10.965784,0,0,0,10.965784,0,0,0,0,"Alegria"
0,0,0,0,8.643856,0,8.643856,7.643856,0,0,0,7.643856,15.802286,0,15.802286,0,"Desgosto"
0,19.931569,19.931569,0,0,0,0,0,0,0,0,0,16.761644,0,16.761644,0,"Desgosto"
7.795859,8.643856,16.439715,0,0,9.965784,0,18.346606,0,9.965784,0,9.965784,10.965784,0,10.965784,0,"Neutro"
0,0,0,0,18.798663,0,9.380822,0,4.878321,0,0,0,13.920341,0,9.380822,0,"Surpresa"
