"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0,2,2,1,1,0,0,1,0,1,1,1,1,0,0,1,"Neutro"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medo"
2,0,2,0,0,0,0,0,0,0,1,0,2,0,3,0,"Tristeza"
0,1,1,0,1,0,0,2,1,0,0,2,1,0,1,0,"Neutro"
1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,"Medo"
1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,"Medo"
1,0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,"Tristeza"
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,"Surpresa"
1,2,3,0,0,0,0,1,0,1,0,1,1,0,2,0,"Tristeza"
2,0,2,0,0,0,0,2,1,0,1,1,1,0,1,1,"Tristeza"
2,1,3,0,0,0,0,0,1,1,2,0,1,0,1,0,"Neutro"
1,0,2,0,2,0,1,1,1,0,0,1,2,0,3,0,"Tristeza"
1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,"Neutro"
3,1,3,0,0,0,0,0,0,0,0,0,2,0,2,0,"Tristeza"
1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,"Alegria"
1,0,1,0,0,1,0,1,0,1,0,2,1,0,1,0,"Neutro"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Surpresa"
1,1,2,0,0,0,0,2,0,0,0,1,2,0,2,0,"Medo"
2,3,5,0,1,1,0,0,1,1,0,0,2,0,2,0,"Neutro"
1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"Neutro"
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,"Alegria"
0,0,1,0,0,0,0,1,0,0,0,1,2,0,2,0,"Medo"
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Medo"
1,1,2,0,1,0,1,1,1,0,1,1,2,0,2,0,"Neutro"
0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,"Medo"
0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,"Medo"
0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,"Alegria"
3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,"Surpresa"
0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,"Neutro"
1,2,2,0,1,0,1,2,0,0,0,2,2,0,2,0,"Medo"
1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,"Surpresa"
1,1,2,0,1,0,1,2,0,0,0,2,2,0,2,0,"Alegria"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Surpresa"
0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,"Medo"
2,0,2,0,2,0,1,1,0,0,0,0,4,0,3,1,"Surpresa"
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,"Tristeza"
1,3,4,0,2,0,1,1,1,1,0,2,1,0,1,0,"Surpresa"
